dataset,metric,target,slope,intercept,r2,stability_estimate_status,stability_raw_min_cells_estimate,stability_min_cells_estimate,observed_min_cells,observed_max_cells,null_min_cells_estimate,null_estimate_status,null_raw_min_cells_estimate,empirical_min_reliable_cells,combined_guideline_model,combined_guideline,guideline_status
external_lung,stability_spearman_mean,0.75,-0.09275093936804851,0.9779915069081792,0.30329191982825,within_observed_range,287.14718225844166,287.14718225844166,42.0,919.0,,above_observed_range_unresolved,11272.041962367104,,287.14718225844166,287.0,model_based
immune,stability_spearman_mean,0.75,-0.023779529549825026,0.9554698265577722,0.1808464179694902,threshold_below_observed_prediction_range,437137244.82047904,42.0,42.0,3762.0,,above_observed_range_unresolved,5709.943632590199,888.0,42.0,888.0,empirical_reliable_min
kidney,stability_spearman_mean,0.75,0.011503031291929207,0.83983878852902,0.10082014770828307,threshold_below_observed_prediction_range,1.548781232813257e-08,54.0,54.0,9278.0,1280.7845638817319,within_observed_range,1280.7845638817319,339.0,1280.7845638817319,1281.0,empirical_reliable_min
lung,stability_spearman_mean,0.75,0.02359600017965695,0.8188020968309452,0.12498679449157135,threshold_below_observed_prediction_range,0.0012138435820893067,131.0,131.0,16486.0,10642.656618913445,within_observed_range,10642.656618913445,16486.0,10642.656618913445,16486.0,empirical_reliable_min
