experiment,panel,train_donor_count,holdout_donor_count,train_donors,holdout_donors,split_idx,n_train_cells,n_holdout_cells,n_train_donors,n_holdout_donors,pearson_r,spearman_rho,mean_abs_score_delta,sign_agreement,overlap_at_50,null_overlap_at_50,lift_at_50,overlap_at_100,null_overlap_at_100,lift_at_100,overlap_at_250,null_overlap_at_250,lift_at_250,overlap_at_500,null_overlap_at_500,lift_at_500,panel_variant
immune_top8_unbalanced_train6_holdout2,immune_top8_cells300,6,2,TSP1;TSP10;TSP2;TSP21;TSP27;TSP7,TSP14;TSP25,12,1800,600,6,2,0.8514140844345093,0.7342433629581884,0.04940937086939812,0.7104044834307992,0.52,0.0060916179337231965,85.3632,0.62,0.012183235867446393,50.8896,0.656,0.030458089668615983,21.537792000000003,0.648,0.060916179337231965,10.637568000000002,top8_unbalanced
immune_top8_unbalanced_train6_holdout2,immune_top8_cells300,6,2,TSP10;TSP14;TSP2;TSP21;TSP25;TSP7,TSP1;TSP27,13,1800,600,6,2,0.8010252118110657,0.6778897224972065,0.057647038251161575,0.7044346978557505,0.52,0.0060916179337231965,85.3632,0.58,0.012183235867446393,47.6064,0.612,0.030458089668615983,20.093184,0.63,0.060916179337231965,10.342080000000001,top8_unbalanced
immune_top8_unbalanced_train6_holdout2,immune_top8_cells300,6,2,TSP10;TSP14;TSP2;TSP21;TSP25;TSP27,TSP1;TSP7,14,1800,600,6,2,0.8081974983215332,0.7000915834484825,0.059192392975091934,0.6877436647173489,0.5,0.0060916179337231965,82.08,0.5,0.012183235867446393,41.04,0.6,0.030458089668615983,19.6992,0.596,0.060916179337231965,9.783936,top8_unbalanced
immune_top8_unbalanced_train6_holdout2,immune_top8_cells300,6,2,TSP14;TSP2;TSP21;TSP25;TSP27;TSP7,TSP1;TSP10,15,1800,600,6,2,0.7674804329872131,0.6449016778997324,0.06187846139073372,0.6926169590643275,0.42,0.0060916179337231965,68.9472,0.44,0.012183235867446393,36.1152,0.536,0.030458089668615983,17.597952000000003,0.576,0.060916179337231965,9.455616,top8_unbalanced
immune_top8_unbalanced_train6_holdout2,immune_top8_cells300,6,2,TSP1;TSP10;TSP14;TSP2;TSP21;TSP25,TSP27;TSP7,16,1800,600,6,2,0.8242241144180298,0.685653396607373,0.05627947673201561,0.6860380116959064,0.62,0.0060916179337231965,101.7792,0.62,0.012183235867446393,50.8896,0.68,0.030458089668615983,22.325760000000002,0.64,0.060916179337231965,10.50624,top8_unbalanced
immune_top8_unbalanced_train6_holdout2,immune_top8_cells300,6,2,TSP1;TSP10;TSP14;TSP2;TSP21;TSP7,TSP25;TSP27,17,1800,600,6,2,0.8437545895576477,0.7087926910602382,0.05067168548703194,0.707724171539961,0.54,0.0060916179337231965,88.64640000000001,0.65,0.012183235867446393,53.352000000000004,0.656,0.030458089668615983,21.537792000000003,0.678,0.060916179337231965,11.130048000000002,top8_unbalanced
immune_top8_unbalanced_train6_holdout2,immune_top8_cells300,6,2,TSP1;TSP10;TSP2;TSP21;TSP25;TSP27,TSP14;TSP7,18,1800,600,6,2,0.7786580920219421,0.6585533887456247,0.06310207396745682,0.7060185185185185,0.58,0.0060916179337231965,95.2128,0.59,0.012183235867446393,48.4272,0.624,0.030458089668615983,20.487168,0.56,0.060916179337231965,9.192960000000001,top8_unbalanced
immune_top8_unbalanced_train6_holdout2,immune_top8_cells300,6,2,TSP1;TSP10;TSP14;TSP2;TSP25;TSP7,TSP21;TSP27,19,1800,600,6,2,0.842801034450531,0.7092999009544294,0.04982712119817734,0.7035818713450293,0.56,0.0060916179337231965,91.92960000000001,0.58,0.012183235867446393,47.6064,0.652,0.030458089668615983,21.406464000000003,0.68,0.060916179337231965,11.162880000000001,top8_unbalanced
immune_top8_unbalanced_train6_holdout2,immune_top8_cells300,6,2,TSP1;TSP14;TSP21;TSP25;TSP27;TSP7,TSP10;TSP2,20,1800,600,6,2,0.8483273386955261,0.7324297288782539,0.04990065097808838,0.7223440545808967,0.58,0.0060916179337231965,95.2128,0.57,0.012183235867446393,46.785599999999995,0.644,0.030458089668615983,21.143808000000003,0.648,0.060916179337231965,10.637568000000002,top8_unbalanced
immune_top8_unbalanced_train6_holdout2,immune_top8_cells300,6,2,TSP10;TSP14;TSP2;TSP25;TSP27;TSP7,TSP1;TSP21,21,1800,600,6,2,0.8541110754013062,0.7230410028360883,0.05096392706036568,0.7001705653021443,0.6,0.0060916179337231965,98.496,0.61,0.012183235867446393,50.0688,0.66,0.030458089668615983,21.669120000000003,0.672,0.060916179337231965,11.031552000000001,top8_unbalanced
immune_top8_unbalanced_train6_holdout2,immune_top8_cells300,6,2,TSP1;TSP10;TSP14;TSP21;TSP25;TSP7,TSP2;TSP27,22,1800,600,6,2,0.8637386560440063,0.7428941342057364,0.046407293528318405,0.7392787524366472,0.62,0.0060916179337231965,101.7792,0.58,0.012183235867446393,47.6064,0.696,0.030458089668615983,22.851072,0.712,0.060916179337231965,11.688192,top8_unbalanced
immune_top8_unbalanced_train6_holdout2,immune_top8_cells300,6,2,TSP1;TSP10;TSP2;TSP21;TSP25;TSP7,TSP14;TSP27,23,1800,600,6,2,0.8348285555839539,0.7045947899939088,0.05191013589501381,0.7217348927875243,0.52,0.0060916179337231965,85.3632,0.63,0.012183235867446393,51.7104,0.688,0.030458089668615983,22.588416,0.664,0.060916179337231965,10.900224000000001,top8_unbalanced
immune_top8_unbalanced_train6_holdout2,immune_top8_cells300,6,2,TSP1;TSP10;TSP14;TSP2;TSP25;TSP27,TSP21;TSP7,24,1800,600,6,2,0.7962039113044739,0.6546810392754057,0.0583178885281086,0.6753167641325536,0.58,0.0060916179337231965,95.2128,0.61,0.012183235867446393,50.0688,0.616,0.030458089668615983,20.224512,0.61,0.060916179337231965,10.01376,top8_unbalanced
immune_top8_unbalanced_train6_holdout2,immune_top8_cells300,6,2,TSP1;TSP10;TSP14;TSP2;TSP21;TSP27,TSP25;TSP7,25,1800,600,6,2,0.8425084948539734,0.7181990889050516,0.05271436646580696,0.7057748538011696,0.58,0.0060916179337231965,95.2128,0.61,0.012183235867446393,50.0688,0.672,0.030458089668615983,22.063104000000003,0.664,0.060916179337231965,10.900224000000001,top8_unbalanced
immune_top8_unbalanced_train6_holdout2,immune_top8_cells300,6,2,TSP10;TSP14;TSP21;TSP25;TSP27;TSP7,TSP1;TSP2,26,1800,600,6,2,0.7900102138519287,0.6762341962679677,0.059472233057022095,0.6889619883040936,0.44,0.0060916179337231965,72.2304,0.48,0.012183235867446393,39.3984,0.532,0.030458089668615983,17.466624000000003,0.574,0.060916179337231965,9.422784,top8_unbalanced
immune_top8_unbalanced_train6_holdout2,immune_top8_cells300,6,2,TSP1;TSP2;TSP21;TSP25;TSP27;TSP7,TSP10;TSP14,27,1800,600,6,2,0.8561791777610779,0.7426953581647915,0.04916470870375633,0.7301413255360624,0.64,0.0060916179337231965,105.06240000000001,0.63,0.012183235867446393,51.7104,0.684,0.030458089668615983,22.457088000000002,0.676,0.060916179337231965,11.097216000000001,top8_unbalanced
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP10;TSP14;TSP21;TSP27;TSP7,TSP2;TSP25,0,372,124,6,2,0.7550856471061707,0.6060602118758349,0.07423673570156097,0.6355994152046783,0.58,0.0060916179337231965,95.2128,0.57,0.012183235867446393,46.785599999999995,0.604,0.030458089668615983,19.830528,0.626,0.060916179337231965,10.276416000000001,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP14;TSP2;TSP25;TSP27;TSP7,TSP10;TSP21,1,372,124,6,2,0.7300476431846619,0.5809851946203247,0.07863998413085938,0.6458333333333334,0.54,0.0060916179337231965,88.64640000000001,0.56,0.012183235867446393,45.964800000000004,0.604,0.030458089668615983,19.830528,0.6,0.060916179337231965,9.8496,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP10;TSP2;TSP21;TSP25;TSP27;TSP7,TSP1;TSP14,2,372,124,6,2,0.7344971299171448,0.5993949458149986,0.0789751186966896,0.6392543859649122,0.52,0.0060916179337231965,85.3632,0.49,0.012183235867446393,40.2192,0.54,0.030458089668615983,17.729280000000003,0.58,0.060916179337231965,9.521279999999999,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP10;TSP14;TSP2;TSP21;TSP25;TSP27,TSP1;TSP7,3,372,124,6,2,0.7438911199569702,0.5960458171594247,0.07713805884122849,0.6103801169590644,0.58,0.0060916179337231965,95.2128,0.57,0.012183235867446393,46.785599999999995,0.564,0.030458089668615983,18.517248,0.594,0.060916179337231965,9.751104,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP14;TSP2;TSP21;TSP25;TSP27;TSP7,TSP1;TSP10,4,372,124,6,2,0.7292977571487427,0.5904588271286911,0.08093079179525375,0.6576510721247564,0.48,0.0060916179337231965,78.7968,0.48,0.012183235867446393,39.3984,0.556,0.030458089668615983,18.254592000000002,0.58,0.060916179337231965,9.521279999999999,top8_celltype_matched
