dataset,base_recommendation,calibrated_recommendation,global_null_separation_pass,constrained_null_separation_pass,null_separation_pass,n_null_families_passed,global_null_mode,global_n_permutations,global_observed_topk_overlap,global_null_mean_topk_overlap,global_null_std_topk_overlap,global_overlap_zscore,global_overlap_empirical_p_ge,global_observed_jaccard,global_null_mean_jaccard,global_null_std_jaccard,global_jaccard_empirical_p_ge,global_observed_resolution_sensitivity,global_null_mean_resolution_sensitivity,global_null_std_resolution_sensitivity,global_sensitivity_improvement_zscore,global_sensitivity_empirical_p_le,constrained_null_mode,constrained_n_permutations,constrained_observed_topk_overlap,constrained_null_mean_topk_overlap,constrained_null_std_topk_overlap,constrained_overlap_zscore,constrained_overlap_empirical_p_ge,constrained_observed_jaccard,constrained_null_mean_jaccard,constrained_null_std_jaccard,constrained_jaccard_empirical_p_ge,constrained_observed_resolution_sensitivity,constrained_null_mean_resolution_sensitivity,constrained_null_std_resolution_sensitivity,constrained_sensitivity_improvement_zscore,constrained_sensitivity_empirical_p_le
kidney,hybrid,coarse,1,0,0,1,global,49,0.583,0.5319387755102042,0.00546735830202495,9.33928630045779,0.02,0.4114326040931546,0.36235954032733575,0.0050814763819379,0.02,0.4045702187720536,0.4513615256569013,0.00456403018201243,10.2521905024335,0.02,within_coarse,49,0.583,0.8672448979591836,0.012130420802409852,-23.43240210617549,1.0,0.4114326040931546,0.7658045008328837,0.01885673512883268,1.0,0.4045702187720536,0.1505872211787063,0.012643919963876695,-20.087362014230493,1.0
lung,hybrid,coarse,1,0,0,1,global,49,0.594,0.5491836734693878,0.007181206576276474,6.240779464368213,0.02,0.422475106685633,0.3785672928872669,0.006814400508121526,0.02,0.40750746799431015,0.4378379753991261,0.005797155974310325,5.231963317741217,0.02,within_coarse,49,0.594,0.7335510204081633,0.04547804471413001,-3.0685360658173795,1.0,0.422475106685633,0.581159502159073,0.05520481762878547,1.0,0.40750746799431015,0.2750797003726863,0.04234671191818879,-3.1272266871030276,0.98
immune,hybrid,coarse,0,0,0,0,global,49,0.526,0.6981020408163265,0.007377456929613287,-23.32809834856573,1.0,0.3568521031207598,0.5362668109292079,0.008666017907070446,1.0,0.44014436906377197,0.29967199753756424,0.00618518514153689,-22.711102143549297,1.0,within_coarse,49,0.526,0.6661428571428571,0.029336410823411912,-4.777096216249336,1.0,0.3568521031207598,0.5001179569854379,0.03283034120130674,1.0,0.44014436906377197,0.3443186945370217,0.02603179370328157,-3.6811014876270507,1.0
immune_invariant,fine,coarse,0,0,0,0,global,49,0.712,0.7960408163265306,0.005365628200536691,-15.662810240583667,1.0,0.5527950310559007,0.6612182310189075,0.007409762670547427,1.0,0.2760614906832298,0.2089263674290216,0.004826234838581477,-13.910455147669632,1.0,within_coarse,49,0.712,0.8638979591836735,0.017048026398431965,-8.910002579397974,1.0,0.5527950310559007,0.7607914550537103,0.026277004501910638,1.0,0.2760614906832298,0.15674215532062158,0.01875332579592454,-6.362569320292971,1.0
external_lung,fine,coarse,0,0,0,0,global,49,0.706,0.7235714285714285,0.004962358310319806,-3.5409431307865704,1.0,0.5455950540958269,0.5668950581748835,0.006093514789993183,1.0,0.29382148377125195,0.2823529111189635,0.0042170549284182195,-2.7195691891521596,1.0,within_coarse,49,0.706,0.7081836734693878,0.03911290999006794,-0.05582999244858963,0.48,0.5455950540958269,0.5496225644717292,0.04773548986937417,0.48,0.29382148377125195,0.29610200616868526,0.03397813172075651,0.06711735701584184,0.44
