dataset,method,n_pcs,rank_spearman,score_pearson,sign_flip_rate,top500_overlap_fraction,precision500_dorothea_abcd
Immune,harmony_batch,30,0.7350909604505796,0.8599703925212188,0.09697855750487329,0.59,0.178
Immune,harmony_batch,50,0.8092875897206736,0.8999978764661405,0.09758771929824561,0.656,0.18
Immune,harmony_batch,80,0.8508427542008866,0.9316177487868068,0.09734405458089669,0.736,0.162
Lung,harmony_batch,30,0.7216410658356175,0.8605262265809989,0.09990253411306042,0.51,0.13
Lung,harmony_batch,50,0.7565773843592701,0.8839327060543197,0.09770955165692008,0.552,0.122
Lung,harmony_batch,80,0.8058896460408893,0.9132424798575061,0.10136452241715399,0.634,0.134
Kidney,harmony_batch,30,0.7510019119089392,0.8452223108421828,0.12363455809334657,0.618,0.182
Kidney,harmony_batch,50,0.7913116350715452,0.8817329131713338,0.1272343594836147,0.688,0.172
Kidney,harmony_batch,80,0.8211773970523376,0.9065986449113468,0.12425521350546177,0.728,0.166
